id_tahun;kategori_usia;laki_laki;perempuan;total
2015;0-14;7815;7615;15430
2015;15-60;18563;18883;37446
2015;60+;2158;2566;4724
2016;0-14;7733;7530;15263
2016;15-60;18626;18952;37578
2016;60+;2229;2634;4863
2017;0-14;7597;7529;15126
2017;15-60;19921;18881;38802
2017;60+;2541;2949;5490
2018;0-14;7744;7803;15547
2018;15-60;20659;19865;40524
2018;60+;2712;3189;5901
2019;0-14;6969;6674;13643
2019;15-60;21674;21765;43439
2019;60+;2592;2631;5223
2020;0-14;6848;6598;13446
2020;15-60;21782;21629;43411
2020;60+;2413;2670;5083
2021;0-14;7136;6745;13881
2021;15-60;22104;22106;44210
2021;60+;2604;2711;5315
2022;0-14;6708;6339;13047
2022;15-60;22537;22515;45052
2022;60+;3083;3251;6334
2023;0-14;7078;6644;13722
2023;15-60;22478;22398;44876
2023;60+;3014;3211;6225
