;id_desa;id_tahun;jumlah_penduduk;2016;2017;2018;2019;2020;2021;2022;2023
Tinggarjaya;1;2016;8637;;;;;;;;
;1;2017;8638;;;;;;;;
;1;2018;9198;;;;;;;;
;1;2019;9307;;;;;;;;
;1;2020;9307;;;;;;;;
;1;2021;9511;;;;;;;;
;1;2022;9667;;;;;;;;
;1;2023;9735;;;;;;;;
Sidareja;2;2016;7702;;;;;;;;
;2;2017;7655;;;;;;;;
;2;2018;8022;;;;;;;;
;2;2019;7950;;;;;;;;
;2;2020;7922;;;;;;;;
;2;2021;7856;;;;;;;;
;2;2022;7995;;;;;;;;
;2;2023;7948;;;;;;;;
Sidamulya;3;2016;4580;;;;;;;;
;3;2017;4529;;;;;;;;
;3;2018;4729;;;;;;;;
;3;2019;4684;;;;;;;;
;3;2020;4642;;;;;;;;
;3;2021;4663;;;;;;;;
;3;2022;4667;;;;;;;;
;3;2023;4698;;;;;;;;
Kunci;4;2016;7830;7830;7976;8325;8401;8553;8711;8931;9017
;4;2017;7976;;;;;;;;
;4;2018;8325;;;;;;;;
;4;2019;8401;;;;;;;;
;4;2020;8553;;;;;;;;
;4;2021;8711;;;;;;;;
;4;2022;8931;;;;;;;;
;4;2023;9017;;;;;;;;
Karanggedang;5;2016;3465;3465;3546;3694;3707;3740;3820;3866;3882
;5;2017;3546;;;;;;;;
;5;2018;3694;;;;;;;;
;5;2019;3707;;;;;;;;
;5;2020;3740;;;;;;;;
;5;2021;3820;;;;;;;;
;5;2022;3866;;;;;;;;
;5;2023;3882;;;;;;;;
Penyarang;6;2016;5884;5884;5969;6120;6149;6173;6226;6357;6385
;6;2017;5969;;;;;;;;
;6;2018;6120;;;;;;;;
;6;2019;6149;;;;;;;;
;6;2020;6173;;;;;;;;
;6;2021;6226;;;;;;;;
;6;2022;6357;;;;;;;;
;6;2023;6385;;;;;;;;
Tegalsari;7;2016;5598;5598;5625;5883;5991;6048;6170;6248;6290
;7;2017;5625;;;;;;;;
;7;2018;5883;;;;;;;;
;7;2019;5991;;;;;;;;
;7;2020;6048;;;;;;;;
;7;2021;6170;;;;;;;;
;7;2022;6248;;;;;;;;
;7;2023;6290;;;;;;;;
Margasari;8;2016;6545;6545;6607;6880;6935;7042;7137;7284;7394
;8;2017;6607;;;;;;;;
;8;2018;6880;;;;;;;;
;8;2019;6935;;;;;;;;
;8;2020;7042;;;;;;;;
;8;2021;7137;;;;;;;;
;8;2022;7284;;;;;;;;
;8;2023;7394;;;;;;;;
Gunungreja;9;2016;3396;3396;3407;3531;3528;3593;3653;3738;3727
;9;2017;3407;;;;;;;;
;9;2018;3531;;;;;;;;
;9;2019;3528;;;;;;;;
;9;2020;3593;;;;;;;;
;9;2021;3653;;;;;;;;
;9;2022;3738;;;;;;;;
;9;2023;3727;;;;;;;;
Sudagaran;10;2016;5468;5468;5466;5590;5653;5692;5659;5680;5747
;10;2017;5466;;;;;;;;
;10;2018;5590;;;;;;;;
;10;2019;5653;;;;;;;;
;10;2020;5692;;;;;;;;
;10;2021;5659;;;;;;;;
;10;2022;5680;;;;;;;;
;10;2023;5747;;;;;;;;
